Time, XRP(Price), Cash, Market Value, Shares,
35, 0.21225, 334.2937499999999, 679.67726089275, 3202.248579, 
132, 0.21225, 344.2722613724999, 669.6987431527499, 3155.235539, 
228, 0.21225, 357.3392335319998, 656.6317646257501, 3093.671447, 
324, 0.21136962, 373.2259669402932, 638.0214184078582, 3018.510505, 
420, 0.21136962, 391.688812402696, 619.5585666043667, 2931.161851, 
516, 0.21136962, 412.524372949905, 598.722999716069, 2832.587766, 
587, 0.21136962, 412.524372949905, 598.722999716069, 2832.587766, 
661, 0.21136962, 412.524372949905, 598.722999716069, 2832.587766, 
782, 0.21136962, 435.3860666614848, 575.8612954360082, 2724.427926, 
878, 0.21136962, 460.0256760629503, 551.221679693454, 2607.8567, 
949, 0.21136962, 460.0256760629503, 551.221679693454, 2607.8567, 
1045, 0.21136962, 486.0742616123105, 525.1730878030052, 2484.619539, 
1141, 0.21136962, 513.2641446114277, 497.98319846279935, 2355.982844, 
1238, 0.21136962, 541.2745245265268, 469.97281220661165, 2223.464338, 
1334, 0.21136962, 569.7925064703597, 441.4548239216901, 2088.544342, 
1430, 0.21136962, 598.4798466312606, 412.7674774197005, 1952.823104, 
1526, 0.21136962, 627.0989038364205, 384.14841387345194, 1817.424916, 
1622, 0.21136962, 655.3895930526699, 355.8577183161139, 1683.580253, 
1718, 0.21136962, 683.0863759106433, 328.1609291170518, 1552.54539, 
1815, 0.21006102, 709.8795450204042, 299.3659457018584, 1425.138018, 
1911, 0.21006102, 735.7020462418676, 273.54343817856426, 1302.209416, 
2007, 0.21006102, 760.4112824542946, 248.8341956643067, 1184.580536, 
2103, 0.21006102, 783.9134164591968, 225.33205535757384, 1072.698092, 
2199, 0.21006102, 805.1957974346534, 204.04966808028658, 971.38283, 
2295, 0.21006102, 824.4513447912493, 184.79411442186006, 879.716353, 
2391, 0.21006102, 841.8898040373325, 167.35564887394625, 796.700163, 
2487, 0.21006102, 857.6826481935899, 151.56279841585817, 721.517959, 
2584, 0.21006102, 871.985169070277, 137.26027123734042, 653.430471, 
2680, 0.21006102, 884.926745140161, 124.31868886562579, 591.82179, 
2775, 0.21006102, 896.6481250588996, 112.59730264505657, 536.021879, 
2872, 0.21006102, 907.2643548358654, 101.98106656626018, 485.483059, 
